customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-150d6f0c,Male,0,Yes,No,8,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),35.69,232.14,No
C-089d004f,Female,0,Yes,Yes,33,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,45.92,1506.05,No
C-9c7b5d36,Female,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.03,1619.16,No
C-84a664ca,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,50.25,2346.86,No
C-42659085,Male,0,No,No,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.08,830.49,Yes
C-ecdf6269,Male,0,Yes,No,33,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),43.49,1422.15,Yes
C-9b7042f9,Female,0,No,No,25,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),42.14,1071.0,Yes
C-1998430c,Female,0,No,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,65.71,540.82,No
C-b1c66e6a,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),49.13,3284.55,No
C-5355028a,Male,1,No,Yes,55,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),27.92,1514.64,No
C-00870900,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),35.03,386.93,No
