customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-1101f66c,Female,1,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.3,589.98,Yes
C-34c914e7,Male,0,No,Yes,0,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,40.05,0.0,Yes
C-73efe82b,Male,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.5,3492.05,Yes
C-9d8d3ed5,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,56.73,2219.79,No
C-d3f70562,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.89,4129.24,No
C-582b79f7,Female,1,No,No,2,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),33.91,93.28,Yes
C-90541b7a,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),54.95,1324.27,No
C-9006c470,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,41.79,1527.23,Yes
C-1976eafe,Male,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,No,Electronic check,52.34,2936.57,Yes
C-620b2625,Female,0,No,No,31,Yes,Yes,DSL,No,No,No,No internet service,No,No,One year,Yes,Electronic check,21.02,636.99,No
C-e587c3c3,Female,0,No,No,50,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),40.35,1999.52,No
